20160101,41
20160102,54
20160103,69
20160104,57
20160105,68
20160106,26
20160107,61
20160108,54
20160109,56
20160110,69
20160111,48
20160112,58
20160113,5
20160114,35
20160115,24
20160116,27
20160117,-10
20160118,-33
20160119,-25
20160120,12
20160121,-12
20160122,9
20160123,66
20160124,77
20160125,11
20160126,92
20160127,11
20160128,67
20160129,85
20160130,74
20160131,68
20160201,12
20160202,89
20160203,5
20160204,51
20160205,87
20160206,94
20160207,85
20160208,85
20160209,53
20160210,48
20160211,38
20160212,27
20160213,18
20160214,14
20160215,23
20160216,-3
20160217,-13
20160218,13
20160219,39
20160220,82
20160221,1
20160222,68
20160223,43
20160224,23
20160225,18
20160226,21
20160227,22
20160228,22
20160229,13
20160301,2
20160302,53
20160303,39
20160304,1
20160305,5
20160306,3
20160307,25
20160308,36
20160309,44
20160310,41
20160311,32
20160312,31
20160313,39
20160314,41
20160315,46
20160316,44
20160317,57
20160318,52
20160319,62
20160320,68
20160321,72
20160322,76
20160323,76
20160324,79
20160325,65
20160326,95
20160327,91
20160328,97
20160329,78
20160330,81
20160331,76
20160401,72
20160402,1
20160403,15
20160404,12
20160405,11
20160406,89
20160407,73
20160408,67
20160409,92
20160410,11
20160411,13
20160412,12
20160413,9
20160414,11
20160415,1
20160416,86
20160417,62
20160418,81
20160419,97
20160420,86
20160421,1
20160422,87
20160423,62
20160424,46
20160425,49
20160426,48
20160427,6
20160428,58
20160429,74
20160430,77
20160501,79
20160502,12
20160503,97
20160504,95
20160505,13
20160506,16
20160507,2
20160508,2
20160509,2
20160510,19
20160511,2
20160512,2
20160513,15
20160514,89
20160515,86
20160516,93
20160517,12
20160518,14
20160519,13
20160520,14
20160521,18
20160522,16
20160523,12
20160524,11
20160525,12
20160526,14
20160527,16
20160528,18
20160529,17
20160530,16
20160531,18
20160601,19
20160602,15
20160603,16
20160604,2
20160605,2
20160606,19
20160607,2
20160608,16
20160609,15
20160610,16
20160611,16
20160612,17
20160613,16
20160614,15
20160615,15
20160616,16
20160617,15
20160618,14
20160619,15
20160620,16
20160621,17
20160622,2
20160623,22
20160624,19
20160625,15
20160626,15
20160627,15
20160628,17
20160629,16
20160630,16
20160701,17
20160702,15
20160703,15
20160704,17
20160705,15
20160706,15
20160707,17
20160708,18
20160709,2
20160710,21
20160711,19
20160712,17
20160713,15
20160714,15
20160715,17
20160716,2
20160717,2
20160718,2
20160719,23
20160720,25
20160721,22
20160722,21
20160723,21
20160724,21
20160725,18
20160726,18
20160727,18
20160728,19
20160729,18
20160730,18
20160731,17
20160801,17
20160802,17
20160803,19
20160804,17
20160805,18
20160806,16
20160807,18
20160808,17
20160809,14
20160810,13
20160811,14
20160812,19
20160813,18
20160814,17
20160815,16
20160816,16
20160817,17
20160818,18
20160819,18
20160820,18
20160821,17
20160822,18
20160823,21
20160824,23
20160825,24
20160826,22
20160827,22
20160828,21
20160829,17
20160830,16
20160831,17
20160901,17
20160902,17
20160903,19
20160904,18
20160905,17
20160906,18
20160907,18
20160908,2
20160909,17
20160910,18
20160911,19
20160912,21
20160913,24
20160914,23
20160915,23
20160916,17
20160917,17
20160918,17
20160919,14
20160920,15
20160921,15
20160922,14
20160923,14
20160924,15
20160925,16
20160926,14
20160927,15
20160928,19
20160929,16
20160930,15
20161001,14
20161002,12
20161003,15
20161004,13
20161005,98
20161006,94
20161007,12
20161008,11
20161009,79
20161010,79
20161011,8
20161012,89
20161013,91
20161014,99
20161015,11
20161016,13
20161017,12
20161018,1
20161019,88
20161020,85
20161021,76
20161022,67
20161023,48
20161024,71
20161025,87
20161026,95
20161027,12
20161028,13
20161029,96
20161030,87
20161031,85
20161101,81
20161102,72
20161103,67
20161104,76
20161105,69
20161106,61
20161107,42
20161108,19
20161109,3
20161110,4
20161111,18
20161112,2
20161113,27
20161114,31
20161115,11
20161116,12
20161117,93
20161118,6
20161119,58
20161120,84
20161121,12
20161122,11
20161123,79
20161124,66
20161125,33
20161126,-1
20161127,56
20161128,-3
20161129,-31
20161130,2
20161201,79
20161202,52
20161203,-1
20161204,-14
20161205,-27
20161206,1
20161207,63
20161208,82
20161209,91
20161210,78
20161211,85
20161212,53
20161213,66
20161214,73
20161215,65
20161216,54
20161217,61
20161218,62
20161219,43
20161220,-6
20161221,41
20161222,59
20161223,6
20161224,79
20161225,1
20161226,83
20161227,66
20161228,1
20161229,-22
20161230,-11
20161231,18
20170101,5
